First_Inspection_Date,Type,Location,Posting_Date,Removal_Start,Removal_End,Tents,Structures,Bedrolls,Vehicles,72_Tents,72_ Structures,72_Bedrolls,72_Vehicles,Latitude,Longitude
12/1/2016,72-Hour Clean,NW 49th St & 14th St NW (1415 NW 49th St),12/28/2016,1/4/2017,1/4/2017,0,1,0,0,0,1,0,0,"",""
12/27/2016,Litter Pick,S Atlantic Public Stairs  (Rainier I-90 Transit Stairs),1/9/2017,n/a,n/a,0,0,0,0,0,0,0,0,"",""
12/27/2016,72-Hour Clean,Royal Brougham & 7th,1/5/2017,1/9/2017,1/9/2017,0,1,0,0,0,1,0,0,"",""
12/27/2016,72-Hour Clean,Rainier Ave S - East Side of  Metro Stairs,1/9/2017,1/12/2017,1/12/2017,7,4,0,0,7,4,0,0,47.59015,-122.313
12/30/2016,Hazard,Western & Bell to Blanchard,1/6/2017,1/6/2017,1/6/2017,5,0,0,0,5,0,0,0,"",""
1/1/2017,72-Hour Clean,Utah Ave S - Between Hudson St & S. Dawson St,1/19/2017,1/23/2017,1/24/2017,0,3,0,3,3,0,0,0,"",""
1/1/2017,Support,Western & Bell,n/a,"","",0,0,0,0,0,0,0,0,"",""
1/1/2017,Inspection,40th & Pasadena,"","","",,,,,,,,,"",""
1/1/2017,Inspection,6th Ave NE & NE 72nd St near I-5 SB onramp,"","","",,,,,,,,,"",""
1/1/2017,Inspection,Thornton Creek,"","","",,,,,,,,,"",""
1/1/2017,Inspection,Virgil Flaim Park,"","","",,,,,,,,,"",""
1/1/2017,Inspection,24th Ave S & S McClellan St - Cheasty Greenspace,"","","",,,,,,,,,"",""
1/1/2017,Inspection,500 S Brandon St,"","","",,,,,,,,,"",""
1/1/2017,Inspection,Ballard Playfield,"","","",,,,,,,,,"",""
1/1/2017,Inspection,Boren Place Park,"","","",,,,,,,,,"",""
1/1/2017,Inspection,Duwamish Green Belt,"","","",,,,,,,,,"",""
1/1/2017,Inspection,I-5 eastside closest to 2100 block of 11th Ave S,"","","",,,,,,,,,"",""
1/1/2017,Inspection,Interlaken Park,"","","",,,,,,,,,"",""
1/1/2017,Inspection,Magnolia Playfield,"","","",,,,,,,,,"",""
1/1/2017,Inspection,Salmon Bay Natural Area,"","","",,,,,,,,,"",""
1/1/2017,Inspection,Under I-5 @ Fairview Ave E,"","","",,,,,,,,,"",""
1/1/2017,Inspection,Western & Union (Stairs),"","","",,,,,,,,,"",""
1/1/2017,Inspection,5th Ave NE & NE 45th St,"","","",,,,,,,,,"",""
1/4/2017,CANCELLED,SB Rainier Ave S to EB I-90 on Ramp (Cancelled Because of Weather),1/5/2017,1/4/2017,1/4/2017,0,0,0,0,0,0,0,0,"",""
1/9/2017,72-Hour Clean,City Hall Park & Dilling Way,1/9/2017,1/12/2017,1/13/2017,17,0,0,0,17,0,0,0,"",""
1/10/2017,72-Hour Clean,Poplar & Dean,1/10/2017,1/18/2017,1/18/2017,10,3,0,0,10,3,0,0,"",""
1/11/2017,CANCELLED,Rainier Ave S Quadrant,1/11/2017,1/11/2017,1/11/2017,6,0,1,0,0,0,0,0,"",""
1/31/2017,Hazard,Columbia,1/31/2017,2/2/2017,2/2/2017,11,0,0,0,12,0,0,0,"",""
2/1/2017,Hazard,Western & Bell to Blanchard,2/13/2017,2/1/2017,2/13/2017,6,0,0,0,6,0,0,0,"",""
2/3/2017,72-Hour Clean,Ballard Locks,2/7/2017,2/10/2017,2/10/2017,5,5,0,0,3,0,0,0,"",""
2/8/2017,72-Hour Clean,Mercer Corridor,2/9/2017,2/13/2017,2/28/2017,28,6,1,0,11,0,0,0,47.60508,-122.33
2/14/2017,CANCELLED,Emerson Corridor (Cancelled because of Activists),2/23/2017,2/28/2017,n/a,0,0,0,0,0,0,0,0,"",""
2/16/2017,72-Hour Clean,Gasworks Park & Passage Point Park,2/16/2017,2/22/2017,2/22/2017,16,0,2,0,16,0,2,0,"",""
2/17/2017,Obstruction,Discovery Park,n/a,2/17/2017,2/17/2017,1,0,0,0,1,0,0,,"",""
2/21/2017,Obstruction,Columbia,n/a,2/24/2017,2/24/2017,17,0,0,0,17,0,0,0,"",""
2/23/2017,Hazard,I-5 James Street Exits,2/23/2017,2/23/2017,2/23/2017,12,5,1,0,12,5,1,0,"",""
2/24/2017,Obstruction,Ravenna & Cowen Park,n/a,4/13/2017,4/13/2017,6,2,0,0,6,0,0,0,"",""
2/24/2017,Litter Pick,Myers Way,n/a,2/24/2017,2/24/2017,0,0,0,0,0,0,0,0,"",""
2/27/2017,72-Hour Clean,Airport & Royal Brougham,3/2/2017,3/7/2017,3/10/2017,35,2,0,0,35,2,0,0,"",""
2/28/2017,Obstruction,Alaskan Way & S Jackson,n/a,2/28/2017,2/28/2017,3,0,0,0,3,0,0,0,"",""
2/28/2017,72-Hour Clean,Emerson,3/9/2017,3/14/2017,3/15/2017,12,13,0,3,21,0,0,0,47.65292,-122.377
3/1/2017,Obstruction,I-5 James Street Exit,n/a,3/1/2017,3/1/2017,1,0,0,0,1,0,0,0,"",""
3/1/2017,Obstruction,46th Under Ballard Bridge,n/a,3/1/2017,3/1/2017,2,2,0,0,2,2,0,0,"",""
3/2/2017,Obstruction,Georgetown - 6169 4th Ave S,3/7/2017,3/10/2017,3/10/2017,1,0,0,0,1,0,0,0,"",""
3/3/2017,Litter Pick,Myers Way,n/a,3/3/2017,3/3/2017,0,0,0,0,0,0,0,0,"",""
3/9/2017,Hazard,I-5 Expressway - Mercer Eave South & Freeway Park,n/a,3/16/2017,3/25/2017,2,1,0,0,2,1,0,0,"",""
3/9/2017,Hazard,"NB I-5 at 45th, 50th & 65th Exits",3/17/2017,3/17/2017,3/17/2017,9,3,1,0,11,0,0,0,"",""
3/10/2017,Litter Pick,Myers Way,n/a,3/10/2017,3/10/2017,0,0,0,0,0,0,0,0,"",""
3/16/2017,72-Hour Clean,I-5 & Dearborn,3/16/2017,3/21/2017,3/23/2017,36,8,3,0,36,8,3,0,47.59594,-122.321
3/17/2017,Litter Pick,Myers Way,n/a,3/17/2017,3/17/2017,0,0,0,0,0,0,0,0,"",""
3/20/2017,72-Hour Clean,4th Ave S Corridor,3/24/2017,3/28/2017,3/30/2017,73,4,1,0,77,0,0,0,47.59192,-122.329
3/21/2017,72-Hour Clean,James Street Exits - Cherry to James,3/21/2017,3/24/2017,3/24/2017,14,1,2,0,14,1,2,0,47.60512,-122.327
3/23/2017,72-Hour Clean,WSDOT Dearborn Clean Up,4/10/2017,4/12/2017,4/13/2017,1,0,0,0,1,0,0,0,"",""
3/24/2017,Litter Pick,Myers Way,n/a,3/24/2017,3/24/2017,0,0,0,0,0,0,0,0,"",""
3/28/2017,Hazard,Spokane Street @ Lower West Seattle Bridge,n/a,3/28/2017,3/29/2017,7,4,0,0,7,4,0,0,"",""
3/28/2017,72-Hour Clean,La Villa Meadows (Fisher Place NE & Lake City Way),4/7/2017,4/12/2017,4/12/2017,5,6,0,0,3,0,0,0,"",""
3/29/2017,Hazard,Spokane Street Large Litter Pick,3/29/2017,3/29/2017,3/30/2017,0,0,0,0,0,0,0,0,"",""
3/30/2017,72-Hour Clean,Mercer Corridor,3/31/2017,4/4/2017,4/5/2017,4,2,1,0,7,0,0,0,"",""
3/30/2017,72-Hour Clean,Woodland Park,3/30/2017,4/4/2017,4/4/2017,7,0,0,0,8,0,0,0,47.66799,-122.347
3/30/2017,72-Hour Clean,Burke Gilman Trail - 111 Northlake Way,3/31/2017,3/30/2017,3/30/2017,5,0,0,0,5,0,0,0,"",""
3/31/2017,Litter Pick,Myers Way,n/a,n/a,n/a,0,0,0,0,0,0,0,0,"",""
4/5/2017,Obstruction,Mineral Springs Park & 107th & Northgate Way,4/5/2017,4/6/2017,4/6/2017,6,2,0,0,4,0,0,0,"",""
4/5/2017,72-Hour Clean,I-90 & Rainier Metro Stairs,4/12/2017,4/17/2017,4/18/2017,23,10,1,1,23,0,0,0,"",""
4/6/2017,Obstruction,Spokane Street Corridor,4/9/2017,4/6/2017,4/6/2017,44,7,0,28,44,7,0,28,"",""
4/7/2017,Obstruction,Columbia,n/a,4/7/2017,4/7/2017,18,2,0,0,18,2,0,0,"",""
4/7/2017,Litter Pick,Myers Way,n/a,4/7/2017,4/7/2017,0,0,0,0,0,0,0,0,"",""
4/12/2017,72-Hour Clean,James Street Exits - Cherry to James,4/19/2017,4/24/2017,4/24/2017,7,0,2,0,3,0,0,0,"",""
4/12/2017,72-Hour Clean,"6th Ave S & Yesler Way, East Side & James St",6/15/2017,6/22/2017,6/22/2017,4,1,0,0,4,1,0,0,"",""
4/12/2017,Obstruction,Denny & Broad Street Triangle,4/18/2017,4/19/2017,4/19/2017,6,0,0,0,6,0,0,0,"",""
4/12/2017,72-Hour Clean,Harborview Park,4/19/2017,4/24/2017,5/2/2017,4,4,0,0,4,4,0,0,"",""
4/13/2017,72-Hour Clean,42nd Ave NE & 5th Ave NE,4/14/2017,4/19/2017,4/20/2017,11,3,7,1,14,0,0,0,"",""
4/13/2017,72-Hour Clean,Diagonal Way & Airport,4/17/2017,4/20/2017,4/20/2017,14,3,1,1,7,0,0,0,"",""
4/13/2017,Hazard,8th & Royal Brougham,"",4/17/2017,4/17/2017,0,1,0,0,1,0,0,0,"",""
4/14/2017,Obstruction,Burke Gilman Trail @ N 34th Ave & Northlake Way,4/14/2017,4/14/2017,4/20/2017,0,1,0,0,0,1,0,0,"",""
4/14/2017,Inspection,Greenlake,"","","",4,0,1,0,,,,,"",""
4/18/2017,72-Hour Clean,W Wheeler St & 15th Ave W,5/5/2017,5/8/2017,5/9/2017,7,1,2,0,2,0,0,0,"",""
4/18/2017,Obstruction,NW 39th St & Burke Gilman Trail,n/a,4/18/2017,4/18/2017,0,1,0,0,0,1,0,0,"",""
4/18/2017,Obstruction,St Marks Greenbelt,n/a,4/21/2017,4/21/2017,3,1,0,0,3,1,0,0,"",""
4/19/2017,72-Hour Clean,Galer Flyover,4/21/2017,4/27/2017,5/5/2017,1,2,0,1,3,0,0,0,"",""
4/19/2017,72-Hour Clean,Ballard Locks,4/25/2017,4/25/2017,5/1/2017,8,3,0,0,3,0,0,0,"",""
4/19/2017,Clean - No Campers,70th & Aurora,n/a,n/a,n/a,0,0,0,0,0,0,0,0,"",""
4/19/2017,Clean - No Campers,Weedin - 66th & 68th,n/a,n/a,n/a,0,0,0,0,0,0,0,0,"",""
4/19/2017,72-Hour Clean,Greenlake,5/5/2017,5/9/2017,5/9/2017,2,0,0,0,0,0,0,0,"",""
4/20/2017,Inspection,Aurora Bridge - SW corner hillside above Raye St,"","","",0,1,2,0,,,,,"",""
4/20/2017,72-Hour Clean,Licton Springs Park & Ashworth Ave N Walkway,5/5/2017,5/9/2017,5/9/2017,2,0,2,0,2,0,0,0,"",""
4/20/2017,72-Hour Clean,Massachusetts Between 4th & 8th Ave S,4/21/2017,4/26/2017,4/26/2017,16,7,0,2,10,1,0,0,"",""
4/20/2017,Clean - No Campers,11636 Aurora Ave N (ROW),n/a,n/a,n/a,0,0,0,0,0,0,0,0,"",""
4/20/2017,Clean - No Campers,9217 Aurora Ave N,n/a,n/a,n/a,0,0,0,0,0,0,0,0,"",""
4/20/2017,Litter Pick,Aurora Ave N & N 96th St (SE corner),n/a,n/a,n/a,0,0,0,0,0,0,0,0,"",""
4/20/2017,Litter Pick,Behind Haller Lake Maintenance Facility,n/a,n/a,n/a,0,0,0,0,0,0,0,0,"",""
4/20/2017,Obstruction,Golden Gardens,4/20/2017,4/20/2017,4/27/2017,1,0,0,0,1,0,0,0,"",""
4/21/2017,Obstruction,1900 Alaskan Way,n/a,4/21/2017,4/21/2017,6,0,0,0,6,0,0,0,"",""
4/23/2017,Obstruction,SB 50th Street Exit,n/a,4/23/2017,4/23/2017,2,0,3,0,2,0,3,0,"",""
4/24/2017,Hazard,Mercer Eave,n/a,4/29/2017,4/29/2017,0,0,1,0,0,0,1,0,"",""
4/24/2017,Obstruction,Western & Bell to Blanchard,n/a,4/24/2017,4/24/2017,17,3,0,0,17,3,0,0,"",""
4/24/2017,72-Hour Clean,Court Pl & Howell St,4/25/2017,4/24/2017,4/24/2017,2,1,0,0,2,1,0,0,"",""
4/25/2017,Obstruction,Ravenna - Nursery,n/a,4/25/2017,4/25/2017,4,0,0,0,4,0,0,0,"",""
4/26/2017,Inspection,4th Ave S (Near McDonalds),"",4/26/2017,4/26/2017,1,1,0,0,,,,,"",""
4/26/2017,Inspection,6th Ave S - Between Dawson & Brandon,"",4/26/2017,4/26/2017,0,0,1,0,,,,,"",""
4/26/2017,Inspection,Under S Albro Pl Ramp - West Side of Airport Way S (6240 Corson),"",4/26/2017,4/26/2017,1,1,0,0,,,,,"",""
4/26/2017,Obstruction,Columbia,n/a,4/26/2017,4/26/2017,9,0,1,0,9,0,1,0,"",""
4/26/2017,72-Hour Clean,Airport Way S & S Snoqualmie St - Lower Level,4/28/2017,4/26/2017,4/26/2017,28,10,2,0,17,0,0,0,"",""
4/26/2017,CANCELLED,Utah Ave S - Between Hudson & Dawson,4/28/2017,4/26/2017,4/26/2017,3,2,1,0,0,0,0,0,"",""
4/27/2017,72-Hour Clean,Jackson Park Golf Course,4/28/2017,5/4/2017,5/4/2017,2,3,2,0,2,0,0,0,"",""
4/27/2017,72-Hour Clean,Denver Ave S & 1st Ave,4/28/2017,5/2/2017,5/2/2017,1,2,0,33,5,0,0,4,"",""
4/27/2017,72-Hour Clean,11725 Lake City Way NE (Homewood Natural Area),4/28/2017,5/3/2017,5/3/2017,4,0,0,0,2,0,0,0,"",""
5/2/2017,72-Hour Clean,I-90 Corridor (Poplar & Dean to I-90 Cloverleaf/MetroStairs to Under Jose Rizal),5/11/2017,5/16/2017,5/25/2017,71,37,0,13,85,0,0,0,"",""
5/3/2017,Litter Pick,Detroit Ave SW Greenbelt,n/a,n/a,n/a,0,0,0,0,0,0,0,0,"",""
5/3/2017,Inspection,Riverview Greenbelt,"","","",0,0,0,0,,,,,"",""
5/4/2017,Inspection,Fairmount Park,"","","",0,0,0,0,,,,,"",""
5/4/2017,Clean - No Campers,7699 8th Ave S,n/a,n/a,n/a,0,0,0,0,0,0,0,0,"",""
5/4/2017,Clean - No Campers,Rainier Playfield,n/a,n/a,n/a,0,0,0,0,0,0,0,0,"",""
5/4/2017,Litter Pick,Jose Rizal Park (Upper),n/a,n/a,n/a,0,0,0,0,0,0,0,0,"",""
5/4/2017,Obstruction,22nd Ave S & S Hill St,6/8/2017,6/9/2017,6/9/2017,0,1,0,3,,,,,"",""
5/5/2017,72-Hour Clean,Mineral Springs Park,5/5/2017,5/10/2017,5/10/2017,3,0,0,0,3,0,0,0,"",""
5/8/2017,Inspection,1947 4th Ave S,"","","",0,4,0,4,,,,,"",""
5/8/2017,Clean - No Campers,California Ave SW & SW Edmunds,n/a,n/a,n/a,0,0,0,0,0,0,0,0,"",""
5/8/2017,Clean - No Campers,College Street Ravine,n/a,n/a,n/a,0,0,0,0,0,0,0,0,"",""
5/8/2017,Clean - No Campers,Me Kwa Mooks Park,n/a,n/a,n/a,0,0,0,0,0,0,0,0,"",""
5/8/2017,Clean - No Campers,Rotary Viewpoint,n/a,n/a,n/a,0,0,0,0,0,0,0,0,"",""
5/9/2017,Inspection,730 S Portland St,"",5/9/2017,5/9/2017,0,0,0,0,,,,,"",""
5/9/2017,Inspection,I-5 On-Ramp & S Columbia Way,"",5/9/2017,5/9/2017,7,1,0,0,,,,,"",""
5/9/2017,Litter Pick,Longfellow Creek -  Thistle to Juneau,n/a,n/a,n/a,0,0,0,0,0,0,0,0,"",""
5/9/2017,Litter Pick,SW Admiral Way & SW Stevens St,n/a,n/a,n/a,0,0,0,0,0,0,0,0,"",""
5/9/2017,Clean - No Campers,2911 18th Ave S (Sidewalk),n/a,5/9/2017,5/9/2017,0,0,0,0,0,0,0,0,"",""
5/9/2017,Litter Pick,Airport & Royal Brougham,n/a,5/9/2017,5/9/2017,0,0,0,0,0,0,0,0,"",""
5/10/2017,Inspection,Beacon Ave S & Carkeek Dr S,"","","",0,1,0,0,,,,,"",""
5/10/2017,Clean - No Campers,Beer Sheeva Park,n/a,n/a,n/a,0,0,0,0,0,0,0,0,"",""
5/10/2017,Litter Pick,3616 34th Ave S,n/a,n/a,n/a,0,0,2,0,0,0,0,0,"",""
5/11/2017,Hazard,3874 E Marginal Way,n/a,6/10/2017,6/10/2017,7,4,0,15,,,,,"",""
5/11/2017,Litter Pick,Martin Luther King Park,n/a,n/a,n/a,0,0,0,0,0,0,0,0,"",""
5/12/2017,72-Hour Clean,4th Ave S Corridor,5/12/2017,5/15/2017,5/15/2017,2,1,1,1,3,0,0,0,"",""
5/18/2017,Inspection,4th Ave S - Near McDonalds,"",5/18/2017,5/18/2017,0,1,0,0,,,,,"",""
5/18/2017,72-Hour Clean,Magnolia Bridge Ursula Judkins Park,6/15/2017,6/20/2017,6/20/2017,0,1,0,0,1,0,0,0,"",""
5/19/2017,Obstruction,Western & Bell to Blanchard,n/a,5/19/2017,5/19/2017,6,0,0,0,6,0,0,0,"",""
5/22/2017,Hazard,Alaskan Way & Jackson,"",5/22/2017,5/22/2017,18,0,2,0,18,0,2,0,"",""
5/23/2017,72-Hour Clean,Queen Anne Greenbelt - West,6/2/2017,6/5/2017,6/9/2017,5,4,0,0,5,0,0,0,"",""
5/23/2017,Obstruction,Ravenna - 20th Street Bridge,n/a,6/8/2017,6/8/2017,3,1,0,0,,,,,"",""
5/24/2017,Obstruction,8th & Royal Brougham,n/a,5/25/2017,5/25/2017,0,1,0,0,0,1,0,0,"",""
5/25/2017,Clean - No Campers,515 16th Ave E (Alley),n/a,n/a,n/a,0,0,0,0,0,0,0,0,"",""
5/25/2017,Clean - No Campers,Blaine St. Stairs,n/a,n/a,n/a,0,0,0,0,0,0,0,0,"",""
5/25/2017,Clean - No Campers,Boren Place Park,n/a,n/a,n/a,0,0,0,0,0,0,0,0,"",""
5/25/2017,Clean - No Campers,E Denny Way & 14th Ave E (behind 7/11),n/a,n/a,n/a,0,0,0,0,0,0,0,0,"",""
5/25/2017,Clean - No Campers,Fire House Mini Mark,n/a,n/a,n/a,0,0,0,0,0,0,0,0,"",""
5/25/2017,Clean - No Campers,First Hill Park,n/a,n/a,n/a,0,0,0,0,0,0,0,0,"",""
5/25/2017,Clean - No Campers,Miller Park,n/a,n/a,n/a,0,0,0,0,0,0,0,0,"",""
5/25/2017,Clean - No Campers,Montlake Community Center - Bill Dawson Trail @ 520 Off Ramp,n/a,n/a,n/a,0,0,0,0,0,0,0,0,"",""
5/25/2017,Clean - No Campers,Seven Hills Park,n/a,n/a,n/a,0,0,0,0,0,0,0,0,"",""
5/25/2017,Clean - No Campers,Spring Street Park,n/a,n/a,n/a,0,0,0,0,0,0,0,0,"",""
5/25/2017,Clean - No Campers,Summit Slope Park,n/a,n/a,n/a,0,0,0,0,0,0,0,0,"",""
5/25/2017,Clean - No Campers,Thomas Street Mini Park,n/a,n/a,n/a,0,0,0,0,0,0,0,0,"",""
5/25/2017,Clean - No Campers,Williams Place Park,n/a,n/a,n/a,0,0,0,0,0,0,0,0,"",""
5/25/2017,Litter Pick,Melrose Ave - From I-5 Olive Way On Ramp to Melrose Ave & Denny Way,n/a,n/a,n/a,0,0,0,0,0,0,0,0,"",""
5/25/2017,72-Hour Clean,Queen Anne Greenbelt - East,5/25/2017,5/30/2017,6/1/2017,31,0,0,0,,,,,"",""
5/25/2017,Clean - No Campers,928 S Harney St,n/a,n/a,n/a,0,0,0,0,0,0,0,0,"",""
5/25/2017,Clean - No Campers,Industrial Way ROW (near 6th Ave S),n/a,n/a,n/a,0,0,0,0,0,0,0,0,"",""
5/25/2017,Inspection,925 E Alder St,"","","",0,1,0,0,,,,,"",""
5/25/2017,Inspection,Under 520 @ E Roanoke St & Boyer Ave E,"","","",1,0,0,0,,,,,"",""
5/26/2017,72-Hour Clean,3rd Ave S - Between S Massachusetts & Holgate,5/26/2017,5/31/2017,5/31/2017,4,1,0,1,4,1,0,1,"",""
5/26/2017,Obstruction,1900 Alaskan Way,n/a,5/26/2017,5/26/2017,8,1,2,1,8,1,2,1,"",""
5/31/2017,Clean - No Campers,Ballard Commons Park,n/a,n/a,n/a,0,0,0,0,0,0,0,0,"",""
5/31/2017,Clean - No Campers,1415 NW 49th St,n/a,n/a,n/a,0,0,0,0,0,0,0,0,"",""
5/31/2017,Clean - No Campers,5635 Seaview Ave NW,n/a,n/a,n/a,0,0,0,0,0,0,0,0,"",""
5/31/2017,Clean - No Campers,943 NW 46th St,n/a,n/a,n/a,0,0,0,0,0,0,0,0,"",""
5/31/2017,Clean - No Campers,Burke Gilman Trail @ 126 NW Canal St,n/a,n/a,n/a,0,0,0,0,0,0,0,0,"",""
5/31/2017,Clean - No Campers,Burke Gilman Trail @ 3rd Ave NW & NW 42nd St,n/a,n/a,n/a,0,0,0,0,0,0,0,0,"",""
5/31/2017,Clean - No Campers,Burke Gilman Trail @ N Northlake Pl & N 34th St,n/a,n/a,n/a,0,0,0,0,0,0,0,0,"",""
5/31/2017,Clean - No Campers,Fuhrman Ave E & E Gwinn Pl,n/a,n/a,n/a,0,0,0,0,0,0,0,0,"",""
5/31/2017,Clean - No Campers,NW 54th St & 11th Ave NW,n/a,n/a,n/a,0,0,0,0,0,0,0,0,"",""
5/31/2017,Clean - No Campers,NW Market St - between 8th & 9th,n/a,n/a,n/a,0,0,0,0,0,0,0,0,"",""
5/31/2017,Clean - No Campers,Seaview Ave NW & 37th Pl NW,n/a,n/a,n/a,0,0,0,0,0,0,0,0,"",""
5/31/2017,Clean - No Campers,Burke Gilman Trail 126th  NW Canal St,n/a,n/a,n/a,0,0,0,0,0,0,0,0,"",""
5/31/2017,Litter Pick,15th Ave NW & Leary Way NW (Under Ballard Bridge),n/a,n/a,n/a,0,0,0,0,0,0,0,0,"",""
5/31/2017,Litter Pick,NW Leary Way Triangle,n/a,n/a,n/a,0,0,0,3,0,0,0,0,"",""
5/31/2017,Clean - No Campers,14th Ave NW & NW Leary Way,"","","",0,1,0,0,,,,,"",""
5/31/2017,Inspection,Burke Gilman Trail @ 7th Ave NW & NW 42nd St,"","","",1,2,0,0,,,,,"",""
5/31/2017,Inspection,Burke Gilman Trail @ NW Bowdoin & NW 40th St,"","","",0,2,0,0,,,,,"",""
6/1/2017,72-Hour Clean,NE Ravenna Blvd Area @ I-5,6/15/2017,6/21/2017,6/21/2017,0,0,2,0,0,0,2,0,"",""
6/1/2017,Clean - No Campers,1710 NW 58th St,n/a,n/a,n/a,0,0,0,0,0,0,0,0,"",""
6/1/2017,Clean - No Campers,2157 N Nortlake Way,n/a,n/a,n/a,0,0,0,0,0,0,0,0,"",""
6/1/2017,Clean - No Campers,Bryant Park,n/a,n/a,n/a,0,0,0,0,0,0,0,0,"",""
6/1/2017,Clean - No Campers,Burke Gilman Playground,n/a,n/a,n/a,0,0,0,0,0,0,0,0,"",""
6/1/2017,Clean - No Campers,Burke Gilman Trail Between NE 45th Pl & 35th Ave NE,n/a,n/a,n/a,0,0,0,0,0,0,0,0,"",""
6/1/2017,Clean - No Campers,I-5 NB Offramp @ NE 63rd -65th Streets,n/a,n/a,n/a,0,0,0,0,0,0,0,0,"",""
6/1/2017,Litter Pick,4502 Shilshole Ave NW (Under Ballard Bridge),n/a,n/a,n/a,0,0,0,0,0,0,0,0,"",""
6/1/2017,Litter Pick,NE Campus Parkway Under Roosevelt Way NE,n/a,n/a,n/a,0,0,0,0,0,0,0,0,"",""
6/1/2017,Inspection,I-5 NB Offramp @ 7th Ave NE & NE 43rd St,"","","",1,0,0,0,,,,,"",""
6/1/2017,Inspection,I-5 NB Onramp @ 7th Ave NE & NE 50th St,"","","",3,1,0,0,,,,,"",""
6/1/2017,Inspection,NE 40th St Corridor,"","","",0,0,0,0,,,,,"",""
6/1/2017,Inspection,University Playground,"","","",0,1,1,0,,,,,"",""
6/6/2017,72-Hour Clean,Kinnear Park,6/9/2017,6/13/2017,6/13/2017,5,1,0,0,,,,,"",""
6/6/2017,72-Hour Clean,Under I-5 @ E Shelby St/E Gwinn St,6/22/2017,6/28/2017,6/29/2017,9,3,0,1,9,3,0,1,"",""
6/6/2017,CANCELLED,Nesbit Ave N - Between N 85th - 90th St,"",n/a,n/a,0,0,2,0,0,0,0,0,"",""
6/6/2017,Inspection,Montlake Blvd E @ Preschool,"","","",1,0,0,0,,,,,"",""
6/6/2017,Inspection,Offramp to Montlake Blvd E @ 520,"","","",3,1,0,0,,,,,"",""
6/6/2017,Inspection,East Montlake Park,"","","",1,0,0,0,,,,,"",""
6/7/2017,Inspection,800-900 Block of S King St (Under I-5),"","","",1,0,0,0,,,,,"",""
6/7/2017,72-Hour Clean,Eastbound I-90 On-ramp from Rainier Ave S (Close to Poplar Pl S),6/9/2017,6/13/2017,6/15/2017,8,2,0,0,,,,,"",""
6/7/2017,Inspection,Benvenuto View Point (1401 23rd Ave S),"","","",4,1,1,0,,,,,"",""
6/7/2017,Inspection,S Grand St & Rainier Ave S - triangle lot,"","","",0,1,0,0,,,,,"",""
6/7/2017,Litter Pick,Kobe Terrace Park & Danny Woo Gardens,n/a,n/a,n/a,0,0,0,0,0,0,0,0,"",""
6/7/2017,Inspection,Jose Rizal Park (Lower),"","","",40,11,0,0,,,,,"",""
6/8/2017,72-Hour Clean,Discovery Park,"",7/26/2018,7/26/2018,0,0,0,0,,,,,"",""
6/9/2017,72-Hour Clean,Airport Way S of BMW,6/9/2017,6/16/2017,6/16/2017,3,1,0,0,,,,,"",""
6/12/2017,Inspection,SW Spokane St Bridge (first one),"","","",0,1,0,0,,,,,"",""
6/12/2017,Inspection,7801 1st Ave S (1st Ave S & SW Kenyon St),"","","",0,2,2,3,,,,,"",""
6/12/2017,72-Hour Clean,2734 Montlake Blvd E,6/19/2017,6/23/2017,6/23/2017,1,0,0,0,1,0,0,0,"",""
6/12/2017,Obstruction,4th Ave S & Edgar Martiznez,n/a,6/12/2017,6/12/2017,1,2,2,0,,,,,"",""
6/12/2017,Inspection,S Forest St & Airport Way S,"","","",0,1,0,1,1,0,0,0,"",""
6/12/2017,Clean - No Campers,1312 California Way SW,n/a,n/a,n/a,0,0,0,0,0,0,0,0,"",""
6/12/2017,Clean - No Campers,Me Kwa Mooks Park,n/a,n/a,n/a,0,0,0,0,0,0,0,0,"",""
6/12/2017,Clean - No Campers,SW Spokane St & 11th Ave SW to Fishing Dock,n/a,n/a,n/a,0,0,0,0,0,0,0,0,"",""
6/12/2017,Clean - No Campers,S Hinds St & Alaska (Under Viaduct),n/a,n/a,n/a,0,0,0,0,0,0,0,0,"",""
6/12/2017,Litter Pick,4th Ave S & S Walker St,n/a,n/a,n/a,0,0,0,3,0,0,0,0,"",""
6/12/2017,Litter Pick,Harbor Ave SW & SW Spokane ST,n/a,n/a,n/a,0,0,0,0,0,0,0,0,"",""
6/12/2017,Inspection,SB Dearborn Off-ramp at 9th Ave S,"","","",2,1,0,0,,,,,"",""
6/13/2017,72-Hour Clean,Airport Way & S Spokane St to 7th,7/10/2017,7/13/2017,7/13/2017,30,18,4,0,90,18,4,0,"",""
6/13/2017,72-Hour Clean,Spokane St Corridor,9/8/2017,9/12/2017,9/15/2017,90,18,4,0,150,10,5,0,"",""
6/13/2017,72-Hour Clean,700 8th Ave S (Greenery behind 700-800 Block near I-5 Offramp),7/7/2017,7/11/2017,7/13/2017,1,2,1,0,,,,,"",""
6/13/2017,72-Hour Clean,13th Ave S & S Lane Street (Stairway),6/15/2017,6/19/2017,6/19/2017,1,1,0,0,,,,,"",""
6/13/2017,Clean - No Campers,4801 Beacon Ave S ,n/a,n/a,n/a,0,0,0,0,0,0,0,0,"",""
6/13/2017,Clean - No Campers,6th Ave S Between S Dawson & S Brandon,n/a,n/a,n/a,0,0,0,2,0,0,0,0,"",""
