First_Inspection_Date,Type,Location,Posting_Date,Removal_Start,Removal_End,Tents,Structures,Bedrolls,Vehicles,72_Tents,72_ Structures,72_Bedrolls,72_Vehicles,Latitude,Longitude
12/7/2019,Obstruction,3rd Ave & James St,"",12/7/2019,12/7/2019,1,0,0,0,,,,,,
12/7/2019,Obstruction,4th Ave & yesler Way,"",12/7/2019,12/7/2019,0,0,2,0,,,,,,
12/7/2019,Obstruction,6th & 7th Ave from Columbia St to Jefferson St,"",12/7/2019,12/7/2019,2,1,3,0,,,,,,
12/7/2019,Obstruction,Portside Trail,"",12/7/2019,12/7/2019,3,0,0,0,,,,,,
12/8/2019,Obstruction,Alaskan Way from Yesler Way to University St,12/8/2019,12/8/2019,12/8/2019,2,0,0,0,,,,,,
12/8/2019,Obstruction,S. Dearborn St Off Ramp I-5 To Jose Rizal bridge & From 7th Ave S to Rainier Ave S,"",12/8/2019,12/8/2019,3,0,0,0,,,,,,
12/8/2019,Obstruction,Ravenna Tree Farm,"",12/8/2019,12/8/2019,1,0,0,0,,,,,,
12/8/2019,Obstruction,Ballard Commons Park/Library,"",12/8/2019,12/8/2019,0,0,5,0,,,,,,
12/7/2019,Obstruction,3rd Ave S from S Stacey St to S Royal Brougham Way,12/7/2019,12/8/2019,12/8/2019,19,2,0,0,,,,,,
12/9/2019,Obstruction,Leary Way NW & 9th Ave NW,"",12/9/2019,12/9/2019,1,0,0,0,,,,,,
12/9/2019,Obstruction,Occidental Ave S & S Stacy St,"",12/9/2019,12/9/2019,2,0,0,0,,,,,,
12/9/2019,Obstruction,Matthews Beach Pump Station,"",12/9/2019,12/9/2019,5,0,0,0,,,,,,
12/9/2019,Obstruction,Mattews Beach Pump Station,"",12/9/2019,12/9/2019,5,0,0,0,,,,,,
12/10/2019,Obstruction,Cheasty Greenspace,"",12/10/2019,12/10/2019,0,0,0,0,,,,,,
12/10/2019,Obstruction,Lincoln Park,"",12/10/2019,12/10/2019,1,0,0,0,,,,,,
12/10/2019,Obstruction,MLK Park,"",12/10/2019,12/10/2019,1,0,0,0,,,,,,
12/10/2019,Obstruction,South Park Plaza,"",12/10/2019,12/10/2019,1,0,0,0,,,,,,
12/11/2019,Obstruction,3rd Ave S and James St,12/11/2019,12/11/2019,12/11/2019,1,0,0,0,,,,,,
12/11/2019,Obstruction,3rd Ave S and S Holgate St,12/11/2019,12/11/2019,12/11/2019,1,0,0,0,,,,,,
12/11/2019,Obstruction,4th & Yesler,"",12/11/2019,12/11/2019,0,1,2,0,,,,,,
12/11/2019,Obstruction,Royal Brougham Along fence @airport way,"",12/11/2019,12/11/2019,1,0,0,0,,,,,,
12/5/2019,Hazard,I-5 SB James St off-ramp,12/5/2019,12/11/2019,12/11/2019,1,0,0,0,,,,,,
12/12/2019,Obstruction,7th Ave S and S Fildago St,12/7/2019,12/12/2019,12/12/2019,3,5,0,0,,,,,,
12/12/2019,Obstruction,NW Dock PL & Leary Ave NW,"",12/12/2019,12/12/2019,2,0,0,0,,,,,,
12/12/2019,Obstruction,NW 48th St & 17th Ave NW,"",12/12/2019,12/12/2019,1,0,0,0,,,,,,
12/12/2019,Obstruction,Pike St. Hill Climb,"",12/12/2019,12/12/2019,2,0,0,0,,,,,,
12/13/2019,Obstruction,17th Ave and E Howell St,12/13/2019,12/13/2019,12/13/2019,3,1,0,0,,,,,,
12/13/2019,Obstruction,10th Ave S and S Weller St,12/13/2019,12/13/2019,12/13/2019,1,0,0,0,,,,,,
12/13/2019,Obstruction,2nd Ave Ext and S Washington St,12/13/2019,12/13/2019,12/13/2019,1,0,0,0,,,,,,
12/13/2019,Obstruction,North Acres Off leash Area,"",12/13/2019,12/13/2019,1,0,0,0,,,,,,
12/14/2019,Obstruction,4th Ave S and S Washington St,12/14/2019,12/14/2019,12/14/2019,1,0,0,0,,,,,,
12/14/2019,Obstruction,S Dearborn St 1-5 NB of ramp and 10th Ave S,12/14/2019,12/14/2019,12/14/2019,1,0,0,0,,,,,,
12/14/2019,Obstruction,S Harney St and S Bailey St,12/14/2019,12/14/2019,12/14/2019,3,0,0,0,,,,,,
12/14/2019,Obstruction,4th & Yesler,"",12/14/2019,12/14/2019,2,0,7,0,,,,,,
12/14/2019,Obstruction,Cascade park,"",12/14/2019,12/14/2019,0,0,1,0,,,,,,
12/14/2019,Obstruction,7 Hills Park 17th & E.Howell St,"",12/14/2019,12/14/2019,1,0,0,0,,,,,,
12/14/2019,Obstruction,Volunteer Park,"",12/14/2019,12/14/2019,0,0,1,0,,,,,,
12/14/2019,Obstruction,SB I-90 West Side of Rainier Ae,"",12/14/2019,12/14/2019,4,0,0,0,,,,,,
12/14/2019,Obstruction,6-7 From Columbia To Jefferson,"",12/14/2019,12/14/2019,0,0,6,0,,,,,,
12/15/2019,72-Hour Clean,2nd & Spokane St.,"",12/15/2019,12/15/2019,4,0,0,0,,,,,,
12/15/2019,Obstruction,Rainier Ave S NB and S Bush Pl,12/15/2019,12/15/2019,12/15/2019,0,1,0,0,,,,,,
12/15/2019,Obstruction,4th Ave S and S Dawson St,12/15/2019,12/15/2019,12/15/2019,1,1,0,0,,,,,,
12/15/2019,Obstruction,4th Ave S and Edgar Martinez Dr,12/15/2019,12/15/2019,12/15/2019,1,0,0,0,,,,,,
