FID,Shape *,OBJECTID_1,Join_Count,TARGET_FID,OBJECTID,Cleanup,Site_Name,Property_O,Precinct,Type,Complaint,Inspect,Post,Outreach,Cleanup_1,Latitude,Longitude,OBJECTID_2,AREA,PERIMETER,HOODS_,HOODS_ID,S_HOOD,L_HOOD,L_HOODID,SYMBOL,SYMBOL2
3228,Point,3229,1,3228,3229,900-02,8th Ave S & S Massachusetts St,SDOT,West,Encampment,3/16/2015,3/19/2015,3/19/2015,3/23/2015,3/26/2015,47.587983,-122.32345,67,82845392,49792.156,69,167,Industrial District,NO BROADER TERM,18,12,23
3229,Point,3230,1,3229,3230,900-03,8th Ave S & S Massachusetts St,SDOT,West,Camping,8/13/2015,8/20/2015,8/20/2015,8/28/2015,8/31/2015,47.587983,-122.32345,67,82845392,49792.156,69,167,Industrial District,NO BROADER TERM,18,12,23
3385,Point,3386,1,3385,3386,995-02,78 S SPOKANE ST,SDOT,South,Camping,11/19/2015,3/17/2016,3/21/2016,3/22/2016,3/25/2016,47.571703,-122.335434,67,82845392,49792.156,69,167,Industrial District,NO BROADER TERM,18,12,23
223,Point,224,1,223,224,109-02,Magnolia Bridge (under bridge),SDOT,West,Encampment,1/11/2010,1/12/2010,1/12/2010,1/19/2010,1/22/2010,47.633492,-122.37693,66,33503942,64207.586,68,199,Interbay,INTERBAY,9,12,95
761,Point,762,1,761,762,2150-01,8th Ave S & S Jackson St (sidewalks),SDOT,West,Encampment,11/25/2015,1/25/2016,1/25/2016,1/29/2016,2/1/2016,47.599084,-122.32147,61,6169376,11772.387,63,164,International District,DOWNTOWN,13,11,94
2918,Point,2919,1,2918,2919,76-04,Kobe Terrace Park,Parks,West,Camping,11/4/2014,11/24/2014,<Null>,11/21/2014,11/24/2014,47.600699,-122.32636,61,6169376,11772.387,63,164,International District,DOWNTOWN,13,11,94
2663,Point,2664,1,2663,2664,655-03,12th Ave S & S Dearborn St,WSDOT,West,Encampment,9/28/2015,2/8/2016,3/16/2016,3/21/2016,3/24/2016,47.595724,-122.317329,79,48475916,33865.488,81,166,North Beacon Hill,BEACON HILL,17,5,9
362,Point,363,1,362,363,121-10,Alaskan Way Viaduct & Pike St,SDOT,West,Camping,1/10/2014,1/22/2014,1/22/2014,1/24/2014,1/27/2014,47.60789,-122.34278,59,2343359.25,7326.582,61,201,Pike-Market,DOWNTOWN,13,11,0
1559,Point,1560,1,1559,1560,30-13,1900 Alaskan Way,SDOT,West,Camping,11/6/2013,11/18/2013,<Null>,11/15/2013,11/18/2013,47.608917,-122.344497,59,2343359.25,7326.582,61,201,Pike-Market,DOWNTOWN,13,11,0
43,Point,44,1,43,44,4-Jul,Alaska Viaduct & 1st Ave S,SDOT,West,Camping,11/18/2008,11/20/2008,11/20/2008,11/21/2008,11/24/2008,47.59725,-122.335103,65,11474029,19289.813,67,163,Pioneer Square,DOWNTOWN,13,11,33
652,Point,653,1,652,653,194-04,2nd Ave Extension & So Washington,SDOT,West,Camping,1/10/2014,1/22/2014,<Null>,1/24/2014,1/27/2014,47.599298,-122.329784,65,11474029,19289.813,67,163,Pioneer Square,DOWNTOWN,13,11,33
2061,Point,2062,1,2061,2062,44-07,Roy Street,SDOT,West,Camping,11/29/2011,12/2/2011,12/2/2011,12/5/2011,12/8/2011,47.62543,-122.341009,49,16107105,29323.547,51,200,South Lake Union,CASCADE,12,10,95
2415,Point,2416,1,2415,2416,559-04,7th Ave & Denny Way (Aurora on & off ramp),SDOT,West,Camping,4/16/2014,4/25/2014,<Null>,4/22/2014,4/25/2014,47.61856,-122.343472,49,16107105,29323.547,51,200,South Lake Union,CASCADE,12,10,95
2520,Point,2521,1,2520,2521,602-03,Franklin Ave E & I-5,SDOT,East,Camping,4/1/2015,4/14/2015,4/14/2015,4/17/2015,4/20/2015,47.632804,-122.325008,49,16107105,29323.547,51,200,South Lake Union,CASCADE,12,10,95
314,Point,315,1,314,315,118-02,Catholic Hill Pathway,SDOT,Southwest,Camping,12/3/2013,12/12/2013,12/12/2013,12/13/2013,12/16/2013,47.524686,-122.323279,69,29423452,30433.404,71,187,South Park,NO BROADER TERM,18,12,9
3278,Point,3279,1,3278,3279,925-02,Seaview Ave NW & 37th Pl NW,SDOT,North,Camping,9/24/2015,10/5/2015,10/5/2015,10/16/2015,10/19/2015,47.672014,-122.405321,119,24335620,29416.73,121,116,Sunset Hill,BALLARD,7,11,81
2269,Point,2270,1,2269,2270,504-03,Under I-5 Off-Ramp @ Pasadena & NE 42nd,WSDOT,North,Camping,7/23/2015,12/30/2015,1/3/2016,1/3/2016,1/6/2016,47.656687,-122.321606,42,49348388,41446.941,44,139,University District,UNIVERSITY DISTRICT,5,12,33
2270,Point,2271,1,2270,2271,504-04,Under I-5 Off-Ramp @ Pasadena & NE 42nd,WSDOT,North,Encampment,11/9/2016,12/29/2016,1/19/2017,1/24/2017,1/27/2017,47.656687,-122.321606,42,49348388,41446.941,44,139,University District,UNIVERSITY DISTRICT,5,12,33
1193,Point,1194,1,1193,1194,242-03,I-5 & NE 45/NE 50th St exit,WSDOT,North,Camping,9/9/2015,8/1/2016,8/1/2016,8/8/2016,8/11/2016,47.660203,-122.322969,32,42068344,33040.246,34,133,Wallingford,NO BROADER TERM,6,9,19
1739,Point,1740,1,1739,1740,356-02,Trolley Hill Park,Parks,West,Encampment,1/17/2012,2/9/2012,2/10/2012,2/13/2012,2/16/2012,47.63474,-122.363677,44,17974986,20631.705,46,148,West Queen Anne,QUEEN ANNE,10,7,94
2419,Point,2420,1,2419,2420,561-02,Upper Kinnear Park,Parks,West,Camping,1/14/2016,10/25/2016,11/3/2016,11/3/2016,11/6/2016,47.628324,-122.367662,44,17974986,20631.705,46,148,West Queen Anne,QUEEN ANNE,10,7,94
1792,Point,1793,1,1792,1793,372-03,NW 54th St & 32nd Ave NW,SDOT,North,Encampment,10/9/2013,10/9/2013,10/28/2013,10/28/2013,11/1/2013,47.667539,-122.398313,28,22431280,27347.494,30,129,Adams,BALLARD,7,11,33
2295,Point,2296,1,2295,2296,510-14,Ballard Bridge north end,SDOT,North,Encampment,5/29/2015,9/1/2015,1/25/2016,1/29/2016,2/2/2016,47.661399,-122.376237,28,22431280,27347.494,30,129,Adams,BALLARD,7,11,33
1529,Point,1530,1,1529,1530,295-02,4th Ave S & I-90 off ramp,WSDOT,West,Encampment,1/20/2016,12/20/2015,5/4/2016,5/4/2016,5/8/2016,47.59059,-122.298533,58,20664986,25426.23,60,165,Atlantic,CENTRAL AREA,14,8,24
1780,Point,1781,1,1780,1781,37-01,Denny Way and Broad St Triangle,SDOT,West,Camping,4/17/2008,5/19/2008,<Null>,5/15/2008,5/19/2008,47.618582,-122.35073,60,14974037,21967.6,62,156,Belltown,DOWNTOWN,13,11,81
1692,Point,1693,1,1692,1693,344-02,Volunteer Park,Parks,East,Encampment,4/10/2014,4/25/2014,4/24/2014,4/25/2014,4/29/2014,47.630886,-122.312538,100,30239240,26851.947,102,151,Broadway,CAPITOL HILL,11,3,0
1744,Point,1745,1,1744,1745,357-02,Hillside above I-5 @ Olive and Melrose,WSDOT,West,Camping,7/2/2015,4/27/2016,4/27/2016,4/28/2016,5/2/2016,47.61663,-122.327881,100,30239240,26851.947,102,151,Broadway,CAPITOL HILL,11,3,0
2701,Point,2702,1,2701,2702,672-02,10th Avenue East & East Denny Way,SDOT,East,Camping,4/10/2014,4/25/2014,<Null>,4/21/2014,4/25/2014,47.61876,-122.319525,100,30239240,26851.947,102,151,Broadway,CAPITOL HILL,11,3,0
1088,Point,1089,1,1088,1089,2343-01,James St and Terry Ave,SDOT,East,Camping,6/22/2016,9/7/2016,9/19/2016,9/19/2016,9/23/2016,47.605078,-122.329974,62,9477399,18209.463,64,159,Central Business District,DOWNTOWN,13,11,95
1119,Point,1120,1,1119,1120,237-01,Alaskan Way Viaduct & Elliott Ave on ramp,SDOT,West,Camping,4/13/2010,4/26/2010,<Null>,4/30/2010,5/4/2010,47.605078,-122.329974,62,9477399,18209.463,64,159,Central Business District,DOWNTOWN,13,11,95
1230,Point,1231,1,1230,1231,244-15,Ballard Bridge south end,SDOT,West,Camping,3/8/2016,1/27/2016,1/28/2016,1/29/2016,2/2/2016,47.605078,-122.329974,62,9477399,18209.463,64,159,Central Business District,DOWNTOWN,13,11,95
1237,Point,1238,1,1237,1238,2446-01,4200 block of University Way NE (near Radio Shack),SDOT,North,Camping,9/13/2016,9/30/2016,10/28/2016,10/28/2016,11/1/2016,47.605078,-122.329974,62,9477399,18209.463,64,159,Central Business District,DOWNTOWN,13,11,95
1639,Point,1640,1,1639,1640,328-03,114 Alaskan Way S (Prudential Building),SDOT,West,Camping,1/7/2014,1/22/2014,1/22/2014,1/23/2014,1/27/2014,47.606209,-122.332071,62,9477399,18209.463,64,159,Central Business District,DOWNTOWN,13,11,95
1856,Point,1857,1,1856,1857,383-02,Waterfront Park,Parks,West,Camping,10/5/2012,10/9/2012,<Null>,10/5/2012,10/9/2012,47.606054,-122.341035,62,9477399,18209.463,64,159,Central Business District,DOWNTOWN,13,11,95
2209,Point,2210,1,2209,2210,48-10,S Holgate St and Airport Way S,SDOT,South,Encampment,11/19/2012,11/27/2012,11/29/2012,12/3/2012,12/7/2012,47.605078,-122.329974,62,9477399,18209.463,64,159,Central Business District,DOWNTOWN,13,11,95
2691,Point,2692,1,2691,2692,668-06,Eastlake Ave N at Denny Way,SDOT,West,Camping,1/30/2015,1/30/2015,2/6/2015,2/6/2015,2/10/2015,47.605078,-122.329974,62,9477399,18209.463,64,159,Central Business District,DOWNTOWN,13,11,95
2748,Point,2749,1,2748,2749,688-03,314 Broadway E,Private - DPD,East,Camping,5/6/2014,5/20/2014,<Null>,5/16/2014,5/20/2014,47.605078,-122.329974,62,9477399,18209.463,64,159,Central Business District,DOWNTOWN,13,11,95
2770,Point,2771,1,2770,2771,698-01,Broadway E and E Republican,SDOT,East,Camping,4/11/2014,4/18/2014,4/22/2014,4/25/2014,4/29/2014,47.605078,-122.329974,62,9477399,18209.463,64,159,Central Business District,DOWNTOWN,13,11,95
2777,Point,2778,1,2777,2778,701-01,Under I-5  between Hamlin and Shelby across from 2815 Boylston Ave,WSDOT,East,Camping,4/15/2014,4/18/2014,4/24/2014,4/25/2014,4/29/2014,47.605078,-122.329974,62,9477399,18209.463,64,159,Central Business District,DOWNTOWN,13,11,95
2850,Point,2851,1,2850,2851,732-01,4th Ave S Atlantic to Royal Brougham,SDOT,West,Camping,5/29/2014,6/4/2014,6/4/2014,6/6/2014,6/10/2014,47.605078,-122.329974,62,9477399,18209.463,64,159,Central Business District,DOWNTOWN,13,11,95
3031,Point,3032,1,3031,3032,812-03,S Walker St east of 4th Ave S,SDOT,South,Camping,4/22/2016,4/4/2016,4/21/2016,4/22/2016,4/26/2016,47.606209,-122.332071,62,9477399,18209.463,64,159,Central Business District,DOWNTOWN,13,11,95
3127,Point,3128,1,3127,3128,851-03,Under SB on-ramp to W Sea Bridge,SDOT,West,Camping,4/7/2015,4/14/2015,4/14/2015,4/17/2015,4/21/2015,47.605078,-122.329974,62,9477399,18209.463,64,159,Central Business District,DOWNTOWN,13,11,95
3199,Point,3200,1,3199,3200,890-01,14th Ave NW @ NW 46th St,SDOT,North,Camping,12/23/2014,1/6/2015,1/6/2014,1/16/2015,1/20/2015,47.605078,-122.329974,62,9477399,18209.463,64,159,Central Business District,DOWNTOWN,13,11,95
3200,Point,3201,1,3200,3201,890-02,14th Ave NW @ NW 46th St,SDOT,North,Camping,10/19/2015,10/21/2015,10/21/2015,10/26/2015,10/30/2015,47.605078,-122.329974,62,9477399,18209.463,64,159,Central Business District,DOWNTOWN,13,11,95
3226,Point,3227,1,3226,3227,898-07,Columbia St between Western and Alaskan Way,SDOT,West,Encampment,1/5/2017,1/27/2017,1/29/2017,1/29/2017,2/2/2017,47.602855,-122.336081,62,9477399,18209.463,64,159,Central Business District,DOWNTOWN,13,11,95
344,Point,345,1,344,345,3-Dec,NE Queen Anne Greenbelt,Parks,West,Encampment,5/18/2009,5/19/2009,5/19/2009,5/19/2009,5/23/2009,47.6358,-122.34594,43,19354700,21488.398,45,145,East Queen Anne,QUEEN ANNE,10,7,23
345,Point,346,1,345,346,4-Dec,NE Queen Anne Greenbelt,Parks,West,Camping,8/26/2009,<Null>,8/27/2009,8/27/2009,8/31/2009,47.6358,-122.34594,43,19354700,21488.398,45,145,East Queen Anne,QUEEN ANNE,10,7,23
325,Point,326,1,325,326,119-10,I-5 Colonnade Park,Parks,West,Camping,2/1/2011,2/8/2011,2/8/2011,2/18/2011,2/22/2011,47.63569,-122.3238,48,7426908,16672.512,50,142,Eastlake,CASCADE,12,10,94
2401,Point,2402,1,2401,2402,553-02,7th Ave & Columbia Street,SDOT,West,Camping,7/15/2013,7/24/2013,7/24/2013,7/26/2013,7/30/2013,47.605841,-122.327812,63,9517568,13225.233,65,160,First Hill,DOWNTOWN,13,11,33
2404,Point,2405,1,2404,2405,553-05,7th Ave & Columbia Street,SDOT,West,Camping,1/6/2014,1/8/2014,1/8/2014,1/10/2014,1/14/2014,47.605841,-122.327812,63,9517568,13225.233,65,160,First Hill,DOWNTOWN,13,11,33
1498,Point,1499,1,1498,1499,285-02,215 NW 36th St,SDOT,North,Camping,2/26/2014,4/9/2014,4/13/2014,5/19/2014,5/23/2014,47.653001,-122.359875,33,26503756,25999.285,35,137,Fremont,NO BROADER TERM,6,9,94
1698,Point,1699,1,1698,1699,347-02,S Mead Street between 1st & E Marginal Wy S,SDOT - Parking Enforcement,South,Camping,10/19/2011,10/19/2011,10/21/2011,10/24/2011,10/28/2011,47.55113,-122.335038,68,51305072,45963.664,70,177,Georgetown,NO BROADER TERM,18,12,81
2117,Point,2118,1,2117,2118,459-01,So Harney & 12th Ave So,SDOT,South,Camping,6/7/2012,6/14/2012,6/28/2012,6/29/2012,7/3/2012,47.54801,-122.321336,68,51305072,45963.664,70,177,Georgetown,NO BROADER TERM,18,12,81
3315,Point,3316,1,3315,3316,951-01,772 S Findlay St (on street end),SDOT,Southwest,Camping,3/26/2015,4/15/2015,5/4/2015,5/7/2015,5/11/2015,47.552694,-122.321439,68,51305072,45963.664,70,177,Georgetown,NO BROADER TERM,18,12,81
2451,Point,2452,1,2451,2452,576-03,Northacres Park,Parks,North,Encampment,10/17/2014,11/22/2014,<Null>,11/20/2014,11/24/2014,47.72129,-122.326268,112,47203080,29413.553,114,102,Haller Lake,NORTHGATE,2,10,95
2597,Point,2598,1,2597,2598,634-08,N 121st St & Stone Way N,SDOT,North,Encampment,8/21/2015,8/25/2015,8/25/2015,8/31/2015,9/4/2015,47.716345,-122.342162,112,47203080,29413.553,114,102,Haller Lake,NORTHGATE,2,10,95
2386,Point,2387,1,2386,2387,548-03,JTF 9600 Myers Way S,FAS,Southwest,Encampment,7/26/2016,7/27/2016,7/28/2016,7/29/2016,8/2/2016,47.516592,-122.331476,89,39810332,31111.063,91,188,Highland Park,DELRIDGE,20,10,23
38,Point,39,1,38,39,4-Jun,2nd & S Spokane St,SDOT,South,Encampment,3/26/2016,5/4/2016,5/11/2016,5/12/2016,5/16/2016,47.571807,-122.331291,67,82845392,49792.156,69,167,Industrial District,NO BROADER TERM,18,12,23
1073,Point,1074,1,1073,1074,234-04,4th Ave S and Edgar Martinez Drive So.,SDOT,West,Encampment,8/25/2014,8/19/2014,8/19/2014,8/29/2014,9/2/2014,47.590499,-122.328154,67,82845392,49792.156,69,167,Industrial District,NO BROADER TERM,18,12,23
1467,Point,1468,1,1467,1468,275-01,E Marginal Wy S & Duwamish Ave S,SDOT,South,Encampment,8/23/2010,8/24/2010,8/24/2010,8/27/2010,8/31/2010,47.568752,-122.33948,67,82845392,49792.156,69,167,Industrial District,NO BROADER TERM,18,12,23
1983,Point,1984,1,1983,1984,419-03,Spokane St and East Waterway,SDOT,South,Camping,5/16/2013,6/4/2013,6/4/2013,6/7/2013,6/11/2013,47.570837,-122.344308,67,82845392,49792.156,69,167,Industrial District,NO BROADER TERM,18,12,23
1987,Point,1988,1,1987,1988,420-01,S Spokane St and E. Waterway,SDOT,South,Encampment,9/25/2013,10/16/2013,10/16/2013,10/18/2013,10/22/2013,47.570942,-122.344587,67,82845392,49792.156,69,167,Industrial District,NO BROADER TERM,18,12,23
1988,Point,1989,1,1988,1989,420-02,S Spokane St and E. Waterway,SDOT,South,Camping,3/10/2015,3/11/2015,3/11/2015,3/13/2015,3/17/2015,47.570942,-122.344587,67,82845392,49792.156,69,167,Industrial District,NO BROADER TERM,18,12,23
2165,Point,2166,1,2165,2166,473-02,1900 Utah Ave S,SDOT,West,Camping,10/3/2013,10/16/2013,10/16/2013,10/18/2013,10/22/2013,47.586087,-122.335119,67,82845392,49792.156,69,167,Industrial District,NO BROADER TERM,18,12,23
2907,Point,2908,1,2907,2908,756-03,2765 Occidental Ave S,SDOT,West,Camping,11/14/2014,12/11/2014,12/11/2014,12/12/2014,12/16/2014,47.578984,-122.333221,67,82845392,49792.156,69,167,Industrial District,NO BROADER TERM,18,12,23
2990,Point,2991,1,2990,2991,80-02,3800 E Marginal Way S,SDOT,South,Encampment,3/9/2012,3/9/2012,3/22/2012,3/23/2012,3/27/2012,47.570017,-122.339834,67,82845392,49792.156,69,167,Industrial District,NO BROADER TERM,18,12,23
762,Point,763,1,762,763,2150-02,8th Ave S & S Jackson St (sidewalks),SDOT,West,Encampment,3/7/2016,1/25/2016,1/26/2016,1/28/2016,2/1/2016,47.599084,-122.32147,61,6169376,11772.387,63,164,International District,DOWNTOWN,13,11,94
1878,Point,1879,1,1878,1879,389-02,"6th Ave & Yesler Way, East Side",SDOT,West,Encampment,6/10/2014,6/24/2014,6/24/2014,6/27/2014,7/1/2014,47.601708,-122.326367,61,6169376,11772.387,63,164,International District,DOWNTOWN,13,11,94
2526,Point,2527,1,2526,2527,606-01,15th Avenue NE & NE 107th St Under Bridge,SDOT,North,Camping,8/29/2013,9/11/2013,9/11/2013,9/23/2013,9/27/2013,47.706321,-122.312449,116,34380472,25503.057,118,112,Maple Leaf,NORTHGATE,2,10,94
1992,Point,1993,1,1992,1993,421-01,30th SW & SW Manning St,SDOT,Southwest,Camping,2/2/2012,2/1/2012,2/6/2012,2/9/2012,2/13/2012,47.571159,-122.37176,75,48581416,30687.785,77,169,North Admiral,WEST SEATTLE,19,9,24
2362,Point,2363,1,2362,2363,536-03,Under bridge - 15th Ave NE & NE 105th St,SDOT - Parking Enforcement,North,Camping,5/20/2013,5/23/2013,6/6/2013,6/10/2013,6/14/2013,47.705201,-122.376747,114,31062266,32947.805,116,109,North Beach/Blue Ridge,NO BROADER TERM,1,2,33
1099,Point,1100,1,1099,1100,2354-01,SW Spokane St & 26th Ave SW,SDOT,Southwest,Camping,7/8/2016,8/4/2016,8/4/2016,8/4/2016,8/8/2016,47.571319,-122.367,90,29454656,23549.932,92,174,North Delridge,DELRIDGE,20,10,23
1737,Point,1738,1,1737,1738,355-03,SW Spokane & Delridge Way off-ramp,SDOT,Southwest,Camping,10/21/2016,10/27/2016,10/31/2016,10/31/2016,11/4/2016,47.571285,-122.361774,90,29454656,23549.932,92,174,North Delridge,DELRIDGE,20,10,23
820,Point,821,1,820,821,219-03,Arboretum,Parks,East,Camping,10/20/2014,<Null>,<Null>,10/30/2014,11/3/2014,47.64229,-122.291222,19,1462592.125,6965.418,21,0,OOO, ,0,0,0
358,Point,359,1,358,359,121-07,Alaskan Way Viaduct & Pike St,SDOT,West,Camping,9/4/2013,9/11/2013,<Null>,9/18/2013,9/22/2013,47.60789,-122.34278,59,2343359.25,7326.582,61,201,Pike-Market,DOWNTOWN,13,11,0
1707,Point,1708,1,1707,1708,35-01,Jackson Park Golf Course,Parks,North,Camping,3/14/2008,3/25/2008,<Null>,4/28/2008,5/2/2008,47.72486,-122.318074,113,29438850,26171.271,115,103,Pinehurst,NORTHGATE,2,10,81
7,Point,8,1,7,8,3-Mar,Alaska Viaduct - Near Stadiums,SDOT,West,Encampment,6/3/2009,6/4/2009,6/26/2009,6/26/2009,6/30/2009,47.593835,-122.335768,65,11474029,19289.813,67,163,Pioneer Square,DOWNTOWN,13,11,33
21,Point,22,1,21,22,2-May,6th and Yesler,SDOT,West,Camping,5/20/2008,5/28/2008,6/13/2008,6/12/2008,6/16/2008,47.601712,-122.326357,65,11474029,19289.813,67,163,Pioneer Square,DOWNTOWN,13,11,33
26,Point,27,1,26,27,7-May,6th and Yesler,SDOT,West,Camping,2/24/2010,3/8/2010,<Null>,3/4/2010,3/8/2010,47.601712,-122.326357,65,11474029,19289.813,67,163,Pioneer Square,DOWNTOWN,13,11,33
434,Point,435,1,434,435,132-06,6th Ave &  James St,SDOT,West,Camping,6/19/2014,6/24/2014,6/24/2014,6/27/2014,7/1/2014,47.603462,-122.32743,65,11474029,19289.813,67,163,Pioneer Square,DOWNTOWN,13,11,33
443,Point,444,1,443,444,132-15,6th Ave &  James St,SDOT,West,Encampment,10/14/2016,11/28/2016,11/30/2016,12/1/2016,12/5/2016,47.603462,-122.32743,65,11474029,19289.813,67,163,Pioneer Square,DOWNTOWN,13,11,33
553,Point,554,1,553,554,16-05,Carpool Lot - 6th & Cherry,SDOT,West,Camping,6/12/2008,<Null>,6/12/2008,6/12/2008,6/16/2008,47.604874,-122.328736,65,11474029,19289.813,67,163,Pioneer Square,DOWNTOWN,13,11,33
2310,Point,2311,1,2310,2311,512-01,Alaskan Way S & Jackson St,SDOT,West,Camping,11/27/2012,11/27/2012,11/29/2012,12/3/2012,12/7/2012,47.59904,-122.334928,65,11474029,19289.813,67,163,Pioneer Square,DOWNTOWN,13,11,33
2565,Point,2566,1,2565,2566,620-02,4th Ave and Dilling Way,Parks,West,Camping,2/21/2014,<Null>,<Null>,2/27/2014,3/3/2014,47.602051,-122.329341,65,11474029,19289.813,67,163,Pioneer Square,DOWNTOWN,13,11,33
1746,Point,1747,1,1746,1747,358-02,Interlaken Park,Parks,East,Camping,1/4/2012,1/9/2012,1/9/2012,1/9/2012,1/13/2012,47.634945,-122.307315,101,26039592,25522.346,103,149,Stevens,CAPITOL HILL,11,3,23
2233,Point,2234,1,2233,2234,49-04,5700 block 37th Pl NW,SDOT,North,Camping,11/6/2015,11/13/2015,11/13/2015,11/13/2015,11/17/2015,47.669983,-122.398553,119,24335620,29416.73,121,116,Sunset Hill,BALLARD,7,11,81
2896,Point,2897,1,2896,2897,752-01,4160 PASADENA PL NE,SDOT,North,Camping,6/23/2014,7/16/2014,7/16/2014,7/18/2014,7/22/2014,47.657213,-122.321851,42,49348388,41446.941,44,139,University District,UNIVERSITY DISTRICT,5,12,33
579,Point,580,1,579,580,168-06,NE 40th St Greenbelt,SDOT,North,Camping,4/24/2015,4/24/2015,4/28/2015,4/30/2015,5/4/2015,47.655977,-122.324131,32,42068344,33040.246,34,133,Wallingford,NO BROADER TERM,6,9,19
2091,Point,2092,1,2091,2092,451-02,I-5 NB Offramp at NE 50th Street,WSDOT,North,Camping,9/10/2013,9/11/2013,9/11/2013,9/13/2013,9/17/2013,47.664968,-122.322853,32,42068344,33040.246,34,133,Wallingford,NO BROADER TERM,6,9,19
2174,Point,2175,1,2174,2175,475-06,15th Ave W & W Garfield St,SDOT,West,Camping,1/23/2014,1/31/2014,2/3/2014,2/6/2014,2/10/2014,47.633531,-122.376176,44,17974986,20631.705,46,148,West Queen Anne,QUEEN ANNE,10,7,94
2181,Point,2182,1,2181,2182,475-13,15th Ave W & W Garfield St,SDOT,West,Camping,10/14/2014,1/7/2015,1/7/2015,1/8/2015,1/12/2015,47.633531,-122.376176,44,17974986,20631.705,46,148,West Queen Anne,QUEEN ANNE,10,7,94
2184,Point,2185,1,2184,2185,475-16,15th Ave W & W Garfield St,SDOT,West,Encampment,3/23/2015,3/23/2015,3/26/2015,3/27/2015,3/31/2015,47.633531,-122.376176,44,17974986,20631.705,46,148,West Queen Anne,QUEEN ANNE,10,7,94
253,Point,254,1,253,254,1101-01,4500 9TH AVE NW,SDOT,North,Encampment,9/23/2015,9/23/2015,9/23/2015,9/28/2015,10/2/2015,47.661487,-122.368597,30,22199366,21789.65,32,130,West Woodland,BALLARD,7,11,9
698,Point,699,1,698,699,207-10,Under Ballard Bridge 15th Ave NW and  Leary Way NW,SDOT,North,Camping,12/31/2014,1/6/2015,1/6/2015,1/8/2015,1/12/2015,47.663662,-122.376072,30,22199366,21789.65,32,130,West Woodland,BALLARD,7,11,9
905,Point,906,1,905,906,2231-03,14th Ave NW & NW Ballard Way,SDOT,North,Camping,5/24/2016,11/28/2016,11/15/2016,11/17/2016,11/21/2016,47.662937,-122.373529,30,22199366,21789.65,32,130,West Woodland,BALLARD,7,11,9
1675,Point,1676,1,1675,1676,34-12,NW Leary Way Triangle,SDOT,North,Camping,10/9/2015,10/13/2015,10/13/2015,10/15/2015,10/19/2015,47.663458,-122.368898,30,22199366,21789.65,32,130,West Woodland,BALLARD,7,11,9
1942,Point,1943,1,1942,1943,407-06,I-5 off ramp at 7th & James St,WSDOT,East,Camping,4/11/2014,<Null>,<Null>,4/30/2014,5/4/2014,47.604623,-122.326972,64,5348937.5,9611.354,66,162,Yesler Terrace,DOWNTOWN,13,11,81
3038,Point,3039,1,3038,3039,813-06,James St between 6th Ave and 7th Ave,SDOT,West,Camping,11/3/2016,11/1/2016,11/30/2016,12/1/2016,12/5/2016,47.604443,-122.327334,64,5348937.5,9611.354,66,162,Yesler Terrace,DOWNTOWN,13,11,81
2297,Point,2298,1,2297,2298,510-16,Ballard Bridge north end,SDOT,North,Camping,5/11/2016,5/11/2016,5/11/2016,5/12/2016,5/17/2016,47.661399,-122.376237,28,22431280,27347.494,30,129,Adams,BALLARD,7,11,33
3150,Point,3151,1,3150,3151,867-03,15th Ave NW at NW 46th St (under Ballard Bridge),SDOT,North,Camping,2/23/2016,1/25/2016,1/25/2016,1/28/2016,2/2/2016,47.662209,-122.3763,28,22431280,27347.494,30,129,Adams,BALLARD,7,11,33
3381,Point,3382,1,3381,3382,992-02,Ballard Commons Park (Sidewalk),SDOT,North,Encampment,11/24/2015,12/1/2015,1/27/2016,1/28/2016,2/2/2016,47.670857,-122.385306,28,22431280,27347.494,30,129,Adams,BALLARD,7,11,33
2356,Point,2357,1,2356,2357,534-03,I-90 on ramp @ Rainier Ave So & Atlantic,WSDOT,East,Camping,7/6/2016,11/3/2016,12/28/2016,12/30/2016,1/4/2017,47.589413,-122.306582,58,20664986,25426.23,60,165,Atlantic,CENTRAL AREA,14,8,24
1556,Point,1557,1,1556,1557,301-01,Nara Grill Entrance,SDOT,West,Camping,12/10/2010,1/11/2011,<Null>,1/6/2011,1/11/2011,47.6143,-122.340155,60,14974037,21967.6,62,156,Belltown,DOWNTOWN,13,11,81
2025,Point,2026,1,2025,2026,434-03,Melrose Ave E & E Roy Street,Parks,East,Encampment,12/9/2015,12/23/2016,2/16/2016,2/17/2016,2/22/2016,47.625091,-122.327937,100,30239240,26851.947,102,151,Broadway,CAPITOL HILL,11,3,0
3308,Point,3309,1,3308,3309,941-01,Hillside along I-5/Melrose Trail - SW of 845 Bellevue Pl E,WSDOT,East,Camping,3/13/2015,4/27/2016,4/27/2016,4/27/2016,5/2/2016,47.626821,-122.327346,100,30239240,26851.947,102,151,Broadway,CAPITOL HILL,11,3,0
680,Point,681,1,680,681,202-07,1426 Alaskan Way,SDOT,West,Camping,2/4/2013,2/5/2013,2/7/2013,2/6/2013,2/11/2013,47.605078,-122.329974,62,9477399,18209.463,64,159,Central Business District,DOWNTOWN,13,11,95
1378,Point,1379,1,1378,1379,2555-01,Colman Playground,Parks,East,Camping,12/4/2016,12/7/2016,12/28/2016,12/30/2016,1/4/2017,47.605078,-122.329974,62,9477399,18209.463,64,159,Central Business District,DOWNTOWN,13,11,95
