FID,Shape *,OBJECTID_1,Join_Count,TARGET_FID,OBJECTID,Cleanup,Site_Name,Property_O,Precinct,Type,Complaint,Inspect,Post,Outreach,Cleanup_1,Latitude,Longitude,OBJECTID_2,AREA,PERIMETER,HOODS_,HOODS_ID,S_HOOD,L_HOOD,L_HOODID,SYMBOL,SYMBOL2
1139,Point,1140,1,1139,1140,238-04,1317 N 121st St Greenbelt,SDOT,North,Encampment,7/23/2015,8/7/2015,8/7/2015,8/18/2015,8/18/2015,47.716423,-122.341375,112,47203080,29413.553,114,102,Haller Lake,NORTHGATE,2,10,95
1260,Point,1261,1,1260,1261,246-05,Westcrest Park,Parks,Southwest,Camping,10/2/2015,11/10/2015,11/10/2015,6/7/2016,6/7/2016,47.523371,-122.340273,89,39810332,31111.063,91,188,Highland Park,DELRIDGE,20,10,23
37,Point,38,1,37,38,3-Jun,2nd & S Spokane St,SDOT,South,Camping,9/28/2010,9/29/2010,9/29/2010,10/4/2010,10/4/2010,47.571807,-122.331291,67,82845392,49792.156,69,167,Industrial District,NO BROADER TERM,18,12,23
104,Point,105,1,104,105,1021-01,501 S Dawson St,SDOT,South,Camping,7/9/2015,8/6/2015,8/13/2015,8/17/2015,8/17/2015,47.555286,-122.328158,67,82845392,49792.156,69,167,Industrial District,NO BROADER TERM,18,12,23
1075,Point,1076,1,1075,1076,234-06,4th Ave S and Edgar Martinez Drive So.,SDOT,West,Camping,2/19/2015,2/24/2015,2/24/2015,2/27/2015,2/27/2015,47.590499,-122.328154,67,82845392,49792.156,69,167,Industrial District,NO BROADER TERM,18,12,23
1313,Point,1314,1,1313,1314,25-01,W Marginal Way SW - WSDOT Parking Lot,WSDOT,Southwest,Encampment,9/26/2008,9/26/2008,<Null>,10/1/2008,10/1/2008,47.540332,-122.342146,107,24681990,58047.309,109,198,Industrial District,NO BROADER TERM,18,12,95
1573,Point,1574,1,1573,1574,308-01,5300 Denver Ave S,SDOT,South,Camping,2/1/2011,2/8/2011,<Null>,2/8/2011,2/8/2011,47.554766,-122.324796,67,82845392,49792.156,69,167,Industrial District,NO BROADER TERM,18,12,23
2623,Point,2624,1,2623,2624,64-12,3rd Ave S ( S Stacy & S Walker St),SDOT - Parking Enforcement,West,Camping,2/28/2014,4/1/2014,4/3/2014,4/10/2014,4/10/2014,47.581877,-122.330002,67,82845392,49792.156,69,167,Industrial District,NO BROADER TERM,18,12,23
227,Point,228,1,227,228,109-06,Magnolia Bridge (under bridge),SDOT,West,Camping,9/4/2014,9/9/2014,9/9/2014,9/12/2014,9/12/2014,47.633492,-122.37693,66,33503942,64207.586,68,199,Interbay,INTERBAY,9,12,95
1883,Point,1884,1,1883,1884,389-07,"6th Ave & Yesler Way, East Side",SDOT,West,Encampment,4/29/2015,5/7/2015,5/7/2015,5/14/2015,5/14/2015,47.601708,-122.326367,61,6169376,11772.387,63,164,International District,DOWNTOWN,13,11,94
